Indicator_ID,Indicator,Value,Unit,Interpretation
KR01,Authoritative compact urban study area,38.887971085906585,km²,Validated spatial extent used for final cartographic and planning outputs.
KR02,Built-up surface,55.09782139110041,%,Built-up land occupies 21.426 km² and represents the dominant mapped class.
KR03,Vegetated UGI coverage,42.737456026661725,%,"Dense forest, woodland, healthy green space and stressed green space collectively occupy 16.619 km²."
KR04,Tree-based UGI coverage,25.315013680594127,%,Dense urban forest and urban woodland collectively occupy 9.844 km².
KR05,High and Very High planning priority,52.02328786850171,%,Approximately 20.230 km² requires high or very high planning attention.
KR06,Very High planning priority,31.094293237877757,%,The most urgent intervention class covers 12.092 km².
KR07,Low and Very Low planning priority,40.43001296056286,%,Lower-priority areas cover approximately 15.722 km².
KR08,Built-up land in High or Very High priority zones,19.9552,km²,93.14% of mapped built-up land falls within the two highest intervention classes.
KR09,Mean ecosystem service capacity,36.71031823462167,score,Mean capacity across the mapped study area on the project's 0–100 capacity scale.
KR10,Mean ecosystem service demand,0.37870087304944067,index,Mean normalized demand across cells with valid demand data.
KR11,Mean ecosystem service deficit,0.5135338983073144,index,Mean normalized mismatch between ecosystem service capacity and demand.
KR12,Capacity–deficit correlation,-0.973531185420233,Pearson r,Strong inverse internal model relationship; this should not be interpreted as independent causal evidence.
KR13,Demand–deficit correlation,0.958842939750119,Pearson r,Strong positive internal model relationship; this reflects the deficit-model structure.
